Restaurant ID,Restaurant Name,Country Code,City,Longitude,Latitude,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes,Cuisine1,Cuisine2,Cuisine3,Cuisine4,Cuisine5,Cuisine6,Cuisine7,Cuisine8
6317637,Le Petit Souffle,162,Makati City,121.027535,14.565443,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314,French, Japanese, Desserts,,,,,
6304287,Izakaya Kikufuji,162,Makati City,121.014101,14.553708,1200,Botswana Pula(P),Yes,No,No,No,3,4.5,Dark Green,Excellent,591,Japanese,,,,,,,
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,121.056831,14.581404,4000,Botswana Pula(P),Yes,No,No,No,4,4.4,Green,Very Good,270,Seafood, Asian, Filipino, Indian,,,,
6318506,Ooma,162,Mandaluyong City,121.056475,14.585318,1500,Botswana Pula(P),No,No,No,No,4,4.9,Dark Green,Excellent,365,Japanese, Sushi,,,,,,
6314302,Sambo Kojin,162,Mandaluyong City,121.057508,14.58445,1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229,Japanese, Korean,,,,,,
18189371,Din Tai Fung,162,Mandaluyong City,121.056314,14.583764,1000,Botswana Pula(P),No,No,No,No,3,4.4,Green,Very Good,336,Chinese,,,,,,,
6300781,Buffet 101,162,Pasay City,120.9796667,14.53133333,2000,Botswana Pula(P),Yes,No,No,No,4,4,Green,Very Good,520,Asian, European,,,,,,
6301290,Vikings,162,Pasay City,120.9793333,14.54,2000,Botswana Pula(P),Yes,No,No,No,4,4.2,Green,Very Good,677,Seafood, Filipino, Asian, European,,,,
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,120.98009,14.55299,6000,Botswana Pula(P),Yes,No,No,No,4,4.9,Dark Green,Excellent,621,European, Asian, Indian,,,,,
6314987,Locavore,162,Pasig City,121.056532,14.572041,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532,Filipino,,,,,,,
6309903,Silantro Fil-Mex,162,Pasig City,121.057916,14.567689,800,Botswana Pula(P),No,No,No,No,3,4.9,Dark Green,Excellent,1070,Filipino, Mexican,,,,,,
6309455,Mad Mark's Creamery & Good Eats,162,Pasig City,121.06082,14.570849,900,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,488,American, Ice Cream, Desserts,,,,,
6318433,Silantro Fil-Mex,162,Quezon City,121.075419,14.649503,800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294,Filipino, Mexican,,,,,,
6310470,Guevarra's,162,San Juan City,121.0335917,14.59345,1000,Botswana Pula(P),Yes,No,No,No,3,4.2,Green,Very Good,458,Filipino,,,,,,,
